P10-stationary Bike1-biopac-01-30-2025.acq
Graph Created on: 2024-08-14 13:19:54.643
Recording on: 2025-01-30 14:37:30.676
8 msec/sample
7 channels
RSP, Y, RSPEC-R
Volts
ECG, X, RSPEC-R
mV
ECG (.05 - 100 Hz, AHA)
mV
ECG R-R
Seconds
Heart Rate
BPM
ECG R wave
mV
Respiration Rate
BPM
milliSec	CH5	CH9	CH40	CH41	CH42	CH43	CH44	
	37501 samples	37501 samples	37501 samples	37501 samples	37501 samples	37501 samples	37501 samples	
2016	-6.95099	0.0596619	-0.0702323	0.672	89.2857	0.657196	0	
2024	-6.9455	0.0610352	-0.0393659	0.672	89.2857	0.657196	0	
2032	-6.94672	0.0305176	-0.0122361	0.672	89.2857	0.657196	0	
2040	-6.94641	0.00534058	0.0494904	0.672	89.2857	0.657196	0	
2048	-6.94183	-0.0186157	0.100818	0.672	89.2857	0.657196	0	
2056	-6.94183	-0.0334167	0.107575	0.672	89.2857	0.657196	0	
2064	-6.94122	-0.0343323	0.0873814	0.672	89.2857	0.657196	0	
2072	-6.93634	-0.0291443	0.0743977	0.672	89.2857	0.657196	0	
2080	-6.93665	-0.0382996	0.0572801	0.672	89.2857	0.657196	0	
2088	-6.93665	-0.0993347	-0.011618	0.672	89.2857	0.657196	0	
2096	-6.93634	-0.09552	-0.047152	0.672	89.2857	0.657196	0	
2104	-6.93146	-0.0808716	-0.0679076	0.672	89.2857	0.657196	0	
2112	-6.93176	-0.0663757	-0.0824588	0.672	89.2857	0.657196	0	
2120	-6.93176	-0.0563049	-0.0679783	0.672	89.2857	0.657196	0	
2128	-6.92688	-0.0437927	-0.082135	0.672	89.2857	0.657196	0	
2136	-6.92749	-0.032959	-0.133086	0.672	89.2857	0.657196	0	
2144	-6.92688	-0.0205994	-0.149633	0.672	89.2857	0.657196	0	
2152	-6.92719	-0.00534058	-0.0878825	0.672	89.2857	0.657196	0	
2160	-6.922	0.00686646	-0.110923	0.672	89.2857	0.657196	0	
2168	-6.922	0.0170898	-0.186478	0.672	89.2857	0.657196	0	
2176	-6.92169	0.0280762	0.00173414	0.672	89.2857	0.657196	0	
2184	-6.92169	0.0317383	0.48552	0.672	89.2857	0.657196	0	
2192	-6.91681	0.0315857	0.634784	0.672	89.2857	0.657196	0	
2200	-6.9162	0.0318909	0.346673	0.672	89.2857	0.657196	0	
2208	-6.9165	0.0292969	0.142502	0.672	89.2857	0.657196	0	
2216	-6.91742	0.0317383	-0.201442	0.672	89.2857	0.657196	0	
2224	-6.9165	0.0320435	-0.298631	0.672	89.2857	0.657196	0	
2232	-6.9165	0.0367737	-0.187697	0.672	89.2857	0.657196	0	
2240	-6.91254	0.0508118	-0.132333	0.672	89.2857	0.657196	0	
2248	-6.91193	0.0543213	-0.103019	0.672	89.2857	0.657196	0	
2256	-6.91193	0.0559998	-0.0323411	0.672	89.2857	0.657196	0	
2264	-6.91162	0.0537109	0.0238976	0.672	89.2857	0.657196	0	
2272	-6.91162	0.0483704	0.0200371	0.672	89.2857	0.657196	0	
2280	-6.91223	0.0485229	-0.0142775	0.672	89.2857	0.657196	0	
2288	-6.91162	0.0392151	-0.0232662	0.672	89.2857	0.657196	0	
2296	-6.91223	0.0341797	-0.0160656	0.672	89.2857	0.657196	0	
2304	-6.91223	0.0270081	-0.00830473	0.672	89.2857	0.657196	0	
2312	-6.91162	0.0221252	-0.0413686	0.672	89.2857	0.657196	0	
2320	-6.91193	0.0285339	-0.0355926	0.672	89.2857	0.657196	0	
2328	-6.91162	0.0390625	-0.0144408	0.672	89.2857	0.657196	0	
2336	-6.91193	0.0488281	0.00790825	0.672	89.2857	0.657196	0	
2344	-6.91162	0.0439453	0.0317373	0.672	89.2857	0.657196	0	
2352	-6.91162	0.032959	0.0396928	0.672	89.2857	0.657196	0	
2360	-6.91132	0.0262451	0.047792	0.672	89.2857	0.657196	0	
2368	-6.91193	0.0379944	0.0588911	0.672	89.2857	0.657196	0	
2376	-6.91162	0.0410461	0.0380644	0.672	89.2857	0.657196	0	
2384	-6.91193	0.0344849	0.0406089	0.672	89.2857	0.657196	0	
2392	-6.91193	0.032196	0.0199019	0.672	89.2857	0.657196	0	
2400	-6.91193	0.0106812	-0.00479075	0.672	89.2857	0.657196	0	
2408	-6.91101	-0.0161743	0.0174889	0.672	89.2857	0.657196	0	
2416	-6.90704	-0.042572	0.0315157	0.672	89.2857	0.657196	0	
2424	-6.90643	-0.0558472	0.000904107	0.672	89.2857	0.657196	0	
2432	-6.90704	-0.0756836	-0.00792547	0.672	89.2857	0.657196	0	
2440	-6.90704	-0.090332	-0.0204101	0.672	89.2857	0.657196	0	
2448	-6.90735	-0.0878906	-0.0309094	0.672	89.2857	0.657196	0	
2456	-6.90216	-0.080719	-0.023454	0.672	89.2857	0.657196	0	
2464	-6.90247	-0.0733948	0.00225125	0.672	89.2857	0.657196	0	
2472	-6.90186	-0.0570679	0.0130313	0.672	89.2857	0.657196	0	
2480	-6.90125	-0.0439453	-0.0757935	0.672	89.2857	0.657196	0	
2488	-6.90247	-0.0708008	-0.0488394	0.672	89.2857	0.657196	0	
2496	-6.89758	0.0276184	-0.0230511	0.672	89.2857	0.657196	0	
2504	-6.89758	0.355835	-0.0129839	0.672	89.2857	0.657196	0	
2512	-6.89789	0.733795	-0.0127845	0.672	89.2857	0.657196	0	
2520	-6.89789	0.633698	-0.00176352	0.672	89.2857	0.657196	0	
2528	-6.89697	0.378723	0.00749941	0.712	84.2697	0.657196	0	
2536	-6.89667	0.0233459	0.0142601	0.712	84.2697	0.733795	0	
2544	-6.89728	-0.276489	0.0206329	0.712	84.2697	0.733795	0	
2552	-6.89758	-0.321503	0.0205851	0.712	84.2697	0.733795	0	
2560	-6.89758	-0.334167	0.0214491	0.712	84.2697	0.733795	0	
2568	-6.89728	-0.314026	0.0287222	0.712	84.2697	0.733795	0	
2576	-6.89758	-0.231934	0.0235954	0.712	84.2697	0.733795	0	
2584	-6.90155	-0.162659	0.0124298	0.712	84.2697	0.733795	0	
2592	-6.90155	-0.0999451	0.00535863	0.712	84.2697	0.733795	0	
2600	-6.90643	-0.0537109	-0.00419872	0.712	84.2697	0.733795	0	
2608	-6.90674	-0.0297546	-0.00358668	0.712	84.2697	0.733795	0	
2616	-6.91193	-0.014801	-0.0108753	0.712	84.2697	0.733795	0	
2624	-6.9162	-0.0332642	-0.0132589	0.712	84.2697	0.733795	0	
2632	-6.91681	-0.032196	0.00253655	0.712	84.2697	0.733795	0	
2640	-6.922	-0.00762939	0.000893755	0.712	84.2697	0.733795	0	
2648	-6.92688	0.0012207	0.000777015	0.712	84.2697	0.733795	0	
2656	-6.93054	0.0112915	-0.002972	0.712	84.2697	0.733795	0	
2664	-6.93604	0.0331116	-0.0101001	0.712	84.2697	0.733795	0	
2672	-6.93848	0.0570679	-0.00454983	0.712	84.2697	0.733795	0	
2680	-6.94122	0.106049	-0.0164608	0.712	84.2697	0.733795	0	
2688	-6.94611	0.11734	-0.0181759	0.712	84.2697	0.733795	0	
2696	-6.95099	0.11322	-0.0229847	0.712	84.2697	0.733795	0	
2704	-6.95618	0.0862122	-0.0246787	0.712	84.2697	0.733795	0	
2712	-6.96106	0.0401306	-0.00925221	0.712	84.2697	0.733795	0	
2720	-6.96564	-0.0111389	0.00822186	0.712	84.2697	0.733795	0	
2728	-6.97052	-0.0552368	0.0245007	0.712	84.2697	0.733795	0	
2736	-6.97601	-0.0865173	0.0216431	0.712	84.2697	0.733795	0	
2744	-6.98151	-0.123596	0.018698	0.712	84.2697	0.733795	0	
2752	-6.98578	-0.15274	0.0248159	0.712	84.2697	0.733795	0	
2760	-6.99036	-0.190887	0.0536813	0.712	84.2697	0.733795	0	
2768	-6.99585	-0.211639	0.0513634	0.712	84.2697	0.733795	0	
2776	-7.00073	-0.249023	0.0347068	0.712	84.2697	0.733795	0	
2784	-7.00623	-0.355835	0.048338	0.712	84.2697	0.733795	0	
2792	-7.0108	-0.388184	0.0388246	0.712	84.2697	0.733795	0	
2800	-7.01538	-0.379333	0.0100687	0.712	84.2697	0.733795	0	
2808	-7.01965	-0.343323	-0.0379172	0.712	84.2697	0.733795	0	
2816	-7.02545	-0.276031	-0.0636624	0.712	84.2697	0.733795	0	
2824	-7.03064	-0.20874	-0.0860873	0.712	84.2697	0.733795	0	
2832	-7.03491	-0.169678	-0.091722	0.712	84.2697	0.733795	0	
2840	-7.0401	-0.139923	-0.0923396	0.712	84.2697	0.733795	0	
2848	-7.03949	-0.13031	-0.125184	0.712	84.2697	0.733795	0	
2856	-7.04498	-0.11322	-0.158144	0.712	84.2697	0.733795	0	
2864	-7.05078	-0.0671387	-0.120206	0.712	84.2697	0.733795	0	
2872	-7.05505	-0.0672913	-0.0506023	0.712	84.2697	0.733795	0	
2880	-7.0578	-0.0802612	-0.12358	0.712	84.2697	0.733795	0	
2888	-7.05933	-0.0662231	-0.102496	0.712	84.2697	0.733795	0	
2896	-7.06451	-0.0550842	0.256582	0.712	84.2697	0.733795	0	
2904	-7.06879	-0.0354004	0.769999	0.712	84.2697	0.733795	0	
2912	-7.0697	-0.0387573	0.566387	0.712	84.2697	0.733795	0	
2920	-7.07489	-0.00442505	0.323164	0.712	84.2697	0.733795	0	
2928	-7.07458	0.0695801	-0.000691961	0.712	84.2697	0.733795	0	
2936	-7.07947	0.0856018	-0.295343	0.712	84.2697	0.733795	0	
2944	-7.08405	0.0758362	-0.260302	0.712	84.2697	0.733795	0	
2952	-7.08405	0.0823975	-0.295978	0.712	84.2697	0.733795	0	
2960	-7.09015	0.0996399	-0.304023	0.712	84.2697	0.733795	0	
2968	-7.08923	0.10498	-0.177323	0.712	84.2697	0.733795	0	
2976	-7.09412	0.098114	-0.0792057	0.712	84.2697	0.733795	0	
2984	-7.09442	0.0874329	-0.0159393	0.712	84.2697	0.733795	0	
2992	-7.09381	0.102386	0.010453	0.712	84.2697	0.733795	0	
